"name_c","name_s","name_e","family_c","genus_c","endemic","IUCN","national_list","count"
"大石鸡","Alectoris magna","Rusty-necklaced_Partridge","雉科","石鸡属",1,5,0,60
"石鸡","Alectoris chukar","Chukor_Partridge","雉科","石鸡属",0,6,0,228
"白额山鹧鸪","Arborophila gingica","White-browed_Hill_Partridge","雉科","山鹧鸪属",1,7,0,55
"台湾山鹧鸪","Arborophila crudigularis","Taiwan_Hill_Partridge","雉科","山鹧鸪属",1,4,0,4
"海南山鹧鸪","Arborophila ardens","Hainan_Hill_Partridge","雉科","山鹧鸪属",1,3,0,39
"四川山鹧鸪","Arborophila rufipectus","Sichuan_Partridge","雉科","山鹧鸪属",1,3,1,103
"环颈山鹧鸪","Arborophila torqueola","Common_Hill_Partridge","雉科","山鹧鸪属",0,5,0,27
"红喉山鹧鸪","Arborophila rufogularis","Rufous-throated_Hill_Partridge","雉科","山鹧鸪属",0,5,0,21
"红胸山鹧鸪","Arborophila mandellii","Red-breasted_Hill_Partridge","雉科","山鹧鸪属",0,4,1,5
"绿脚山鹧鸪","Arborophila chloropus","Green-legged_Hill_Partridge","雉科","山鹧鸪属",0,5,0,9
"褐胸山鹧鸪","Arborophila brunneopectus","Brown-breasted_Hill_Partridge","雉科","山鹧鸪属",0,5,0,18
"白颊山鹧鸪","Arborophila atrogularis","White-cheeked_Partridge","雉科","山鹧鸪属",0,3,1,4
"灰胸竹鸡","Bambusicola thoracica","Chinese_Bamboo_Partridge","雉科","竹鸡属",1,6,0,303
"棕胸竹鸡","Bambusicola fytchii","Bamboo_Partridge","雉科","竹鸡属",0,6,0,53
"斑尾榛鸡","Bonasa sewerzowi","Chinese_Hazel_Grouse","松鸡科","榛鸡属",1,5,1,153
"花尾榛鸡","Bonasa bonasia","Hazel_Grouse","松鸡科","榛鸡属",0,6,0,135
"红腹锦鸡","Chrysolophus pictus","Golden_Pheasant","雉科","锦鸡属",1,6,0,335
"白腹锦鸡","Chrysolophus amherstiae","Lady_Amherst's","雉科","锦鸡属",1,5,2,219
"鹌鹑","Coturnix japonica","Japanese_Quail","雉科","鹑属",0,6,0,188
"西鹌鹑","Coturnix coturnix","Common_Quail","雉科","鹑属",0,7,0,20
"蓝胸鹑","Coturnix chinensis","Blue-breasted_Quail","雉科","鹑属",0,6,0,28
"蓝马鸡","Crossoptilon auritum","Blue_Eared_Pheasant","雉科","马鸡属",1,6,2,128
"白马鸡","Crossoptilon crossoptilon","White_Eared_Pheasant","雉科","马鸡属",1,5,1,203
"藏马鸡","Crossoptilon harmani","Tibetan_Eared_Pheasant","雉科","马鸡属",1,5,1,121
"褐马鸡","Crossoptilon mantchuricum","Brown_Eared_Pheasant","雉科","马鸡属",1,4,1,95
"镰翅鸡","Dendragapus falcipennis","Siberian_Grouse","松鸡科","镰翅鸡属",0,5,1,1
"中华鹧鸪","Francolinus pintadeanus","Chinese_Francolin","雉科","鹧鸪属",0,7,0,150
"原鸡","Gallus gallus","Red_Jungle_Fowl","雉科","原鸡属",0,6,0,143
"血雉","Ithaginis cruentus","Blood_Pheasant","雉科","血雉属",1,6,0,345
"岩雷鸟","Lagopus mutus","Rock_Ptarmigan","松鸡科","雷鸟属",0,7,0,6
"柳雷鸟","Lagopus lagopus","Willow_Ptarmigan","松鸡科","雷鸟属",0,7,0,5
"雪鹑","Lerwa lerwa","Snow_Patridge","雉科","雪鹑属",0,5,0,33
"绿尾虹雉","Lophophorus lhuysii","Chinese_Monal_Pheasant","雉科","虹雉属",1,4,1,188
"棕尾虹雉","Lophophorus impejanus","Himalayan_Monal_Pheasant","雉科","虹雉属",0,5,0,21
"白尾梢虹雉","Lophophorus sclateri","Sclater's_Monal_Pheasant","雉科","虹雉属",0,4,1,86
"蓝鹇","Lophura swinhoii","Taiwan_Blue_Pheasant","雉科","鹇属",1,4,0,15
"白鹇","Lophura nycthemera","Silver_Pheasant","雉科","鹇属",0,6,0,309
"黑鹇","Lophura leucomelana","Kalij_Pheasant","雉科","鹇属",0,5,0,19
"黑琴鸡","Lyrurus tetrix","Black_Grouse","松鸡科","琴鸡属",0,5,0,69
"绿孔雀","Pavo muticus","Green_Peafowl","雉科","孔雀属",0,3,1,144
"高原山鹑","Perdix hodgsoniae","Tibetan_Partridge","雉科","山鹑属",0,6,0,94
"灰山鹑","Perdix perdix","Grey_Partridge","雉科","山鹑属",0,6,0,1
"斑翅山鹑","Perdix dauuricae","Daurian_Partridge","雉科","山鹑属",0,6,0,184
"雉鸡","Phasianus colchicus","Common_Pheasant","雉科","雉属",0,6,0,746
"海南孔雀雉","Polyplectron katsumatae","Hainan_Peacock_Pheasant","雉科","孔雀雉属",1,7,0,15
"灰孔雀雉","Polyplectron bicalcaratum","Grey_Peacock_Pheasant","雉科","孔雀雉属",0,7,0,20
"勺鸡","Pucrasia macrolopha","Koklass_Pheasant","雉科","勺鸡属",0,5,0,211
"白冠长尾雉","Syrmaticus reevesii","Reeves's_Pheasant","雉科","长尾雉属",1,4,1,243
"白颈长尾雉","Syrmaticus ellioti","Elliot's_Pheasant","雉科","长尾雉属",1,5,1,252
"黑长尾雉","Syrmaticus mikado","Mikado_Pheasant","雉科","长尾雉属",1,4,0,15
"黑颈长尾雉","Syrmaticus humiae","Mrs._Hume's_Pheasant","雉科","长尾雉属",0,4,1,105
"西方松鸡","Tetrao urogallus","Western_Capercaillie","松鸡科","松鸡属",0,7,0,4
"黑嘴松鸡","Tetrao parvirostris","Black-billed_Capercaillie","松鸡科","松鸡属",0,7,0,40
"藏雪鸡","Tetraogallus tibetanus","Tibetan__Snow_Cock","雉科","雪鸡属",0,5,2,153
"暗腹雪鸡","Tetraogallus himalayensis","Himalayan_Snow_Cock","雉科","雪鸡属",0,5,0,62
"阿尔泰雪鸡","Tetraogallus altaicus","Altai_Snow_Cock","雉科","雪鸡属",0,7,0,3
"红喉雉鹑","Tetraophasis obscurus","Red-throad_Pheasant","雉科","雉鹑属",1,4,0,117
"黄喉雉鹑","Tetraophasis szechenyii","Yellow-throad_Pheasant","雉科","雉鹑属",1,4,0,92
"黄腹角雉","Tragopan caboti","Cabot's_Tragopan","雉科","角雉属",1,4,1,181
"红胸角雉","Tragopan satyra","Satyr_Tragopan","雉科","角雉属",0,4,1,19
"黑头角雉","Tragopan melanocephalus","Western_Tragopan","雉科","角雉属",0,7,0,1
"灰腹角雉","Tragopan blythii","Blyth's_Tragopan","雉科","角雉属",0,4,0,14
"红腹角雉","Tragopan temminckii","Temminck's_Tragopan","雉科","角雉属",0,5,2,272

